City,San_Francisco_,Half_Moon_Bay_,San_Jose_,Fremont_,Palo_Alto,Berkeley_,San_Mateo_,Oakland_
Potrero91963_,877.0,869.0,809.0,835.0,835.0,865.0,856.0,859.0
El_Portal95318_,313.0,324.0,289.0,284.0,313.0,301.0,306.0,294.0
Mexican_Colony93263_,430.0,421.0,362.0,387.0,388.0,418.0,409.0,411.0
Pescadero,76.1,28.6,93.2,87.9,70.6,93.9,49.6,91.8
Derby_Acres93224_,427.0,419.0,359.0,385.0,386.0,415.0,406.0,409.0
Shaver_Lake,346.0,349.0,290.0,318.0,316.0,334.0,340.0,327.0
Meridian95957_,195.0,239.0,247.0,223.0,245.0,179.0,222.0,186.0
San_Lucas93954_,261.0,245.0,185.0,210.0,211.0,256.0,232.0,248.0
Whitmore96096_,373.0,417.0,425.0,401.0,423.0,357.0,400.0,363.0
Cazadero95421_,141.0,183.0,212.0,190.0,207.0,141.0,184.0,147.0
Iron_Horse,376.0,420.0,428.0,404.0,426.0,360.0,403.0,367.0
Sand_City,186.0,142.0,110.0,135.0,136.0,181.0,157.0,173.0
Swall_Meadows93514_,546.0,590.0,551.0,527.0,596.0,530.0,573.0,537.0
Mad_River,443.0,487.0,495.0,471.0,493.0,427.0,470.0,434.0
Topaz_Coleville,368.0,411.0,373.0,349.0,417.0,352.0,395.0,358.0
Lake_Almanor_Peninsula96137_,389.0,432.0,440.0,416.0,438.0,372.0,416.0,379.0
Coleville96107_,374.0,417.0,379.0,355.0,423.0,358.0,401.0,364.0
Vernon,622.0,614.0,554.0,579.0,580.0,610.0,601.0,603.0
Yankee_Hill95310_,228.0,239.0,224.0,200.0,229.0,216.0,222.0,210.0
Edison,472.0,463.0,404.0,429.0,430.0,460.0,451.0,453.0
Salton_Sea_Beach92274_,864.0,855.0,796.0,821.0,822.0,852.0,843.0,845.0
Anchor_Bay95445_,190.0,231.0,261.0,239.0,255.0,190.0,233.0,196.0
Trinidad95570_,473.0,514.0,544.0,522.0,538.0,472.0,516.0,479.0
Lockwood,282.0,266.0,207.0,232.0,233.0,278.0,253.0,269.0
Grenada,489.0,533.0,541.0,517.0,539.0,473.0,516.0,479.0
Chilcoot-Vinton,400.0,444.0,452.0,427.0,449.0,384.0,427.0,390.0
Princeton95932_,216.0,259.0,267.0,243.0,265.0,200.0,243.0,206.0
Grangeville93230_,349.0,340.0,281.0,306.0,307.0,337.0,328.0,330.0
Stirling_City95978_,300.0,344.0,352.0,328.0,350.0,284.0,327.0,290.0
Bass_Lake,320.0,331.0,275.0,292.0,301.0,308.0,313.0,301.0
Nord95973_,263.0,307.0,315.0,291.0,313.0,247.0,290.0,254.0
Twain,439.0,483.0,491.0,467.0,489.0,423.0,466.0,430.0
Cressey,187.0,198.0,183.0,159.0,188.0,175.0,181.0,169.0
El_Nido95317_,234.0,225.0,166.0,191.0,192.0,222.0,213.0,215.0
Concow,284.0,328.0,336.0,312.0,334.0,268.0,311.0,274.0
Raisin_City,307.0,299.0,239.0,264.0,265.0,295.0,286.0,288.0
Hornbrook96044_,526.0,570.0,578.0,554.0,576.0,510.0,553.0,516.0
Beckwourth,372.0,415.0,423.0,399.0,421.0,356.0,399.0,362.0
Sierraville96126_,339.0,383.0,391.0,367.0,389.0,323.0,366.0,330.0
Dobbins95935_,251.0,294.0,302.0,278.0,300.0,234.0,278.0,241.0
Orick,504.0,545.0,575.0,553.0,569.0,504.0,547.0,510.0
Lake_Almanor_West96020_,380.0,423.0,431.0,407.0,429.0,364.0,407.0,370.0
Coffee_Creek96091_,464.0,507.0,515.0,491.0,513.0,447.0,491.0,454.0
Point_Reyes_Station94956_,67.8,109.0,139.0,117.0,133.0,67.6,111.0,74.0
Midpines95345_,277.0,288.0,253.0,248.0,277.0,265.0,270.0,258.0
San_Geronimo,41.8,83.3,115.0,92.1,109.0,43.0,86.1,49.4
Manton,346.0,389.0,397.0,373.0,395.0,330.0,373.0,336.0
Desert_Center,894.0,886.0,826.0,851.0,852.0,882.0,873.0,875.0
Benton93512_,628.0,671.0,633.0,609.0,677.0,611.0,655.0,618.0
Cassel96016_,448.0,491.0,499.0,475.0,497.0,432.0,475.0,438.0
California_Pines96101_,567.0,610.0,618.0,594.0,616.0,551.0,594.0,557.0
Clear_Creek96137_,395.0,439.0,446.0,422.0,444.0,379.0,422.0,385.0
Keene,504.0,496.0,436.0,462.0,462.0,492.0,483.0,486.0
Manchester95459_,227.0,269.0,299.0,276.0,293.0,227.0,270.0,234.0
Crows_Landing,150.0,161.0,146.0,122.0,150.0,138.0,144.0,131.0
Avery95247_,238.0,249.0,234.0,210.0,238.0,226.0,231.0,219.0
Canby96015_,546.0,590.0,598.0,574.0,596.0,530.0,573.0,537.0
Del_Dios92029_,794.0,786.0,726.0,752.0,753.0,783.0,773.0,776.0
Smith_Corner93263_,428.0,419.0,360.0,385.0,386.0,416.0,406.0,409.0
Albion,237.0,278.0,308.0,286.0,302.0,236.0,280.0,243.0
Oak_Glen92399_,738.0,730.0,670.0,695.0,696.0,726.0,717.0,719.0
Yettem,356.0,359.0,299.0,328.0,325.0,344.0,349.0,337.0
Mesa_Vista96120_,323.0,367.0,328.0,304.0,373.0,307.0,350.0,313.0
Forbestown,260.0,304.0,312.0,288.0,310.0,244.0,287.0,250.0
Caspar,255.0,296.0,326.0,304.0,320.0,254.0,298.0,261.0
Comptche95427_,226.0,268.0,297.0,275.0,292.0,226.0,269.0,232.0
Acampo95220_,144.0,175.0,160.0,136.0,165.0,129.0,158.0,130.0
June_Lake93529_,492.0,536.0,498.0,473.0,542.0,476.0,519.0,483.0
Bowles93725_,313.0,312.0,252.0,278.0,279.0,302.0,307.0,295.0
Fairhaven95564_,446.0,488.0,517.0,495.0,511.0,446.0,489.0,452.0
Mountain_Ranch,217.0,228.0,212.0,188.0,217.0,202.0,210.0,203.0
Fiddletown,215.0,233.0,218.0,194.0,223.0,199.0,216.0,206.0
Loma_Mar94060_,85.7,38.2,61.1,97.4,42.7,103.0,59.1,101.0
